date,home_team,away_team,home_team_score,away_team_score,neutral_location,home_team_result,year,goalkeeper_differential,defense_differential,offense_differential,midfield_differential,possesion_differential,shots_on_target_differential,shots_differential,yellow_cards_differential,red_card_differential,fouls_differential,saves_differential,score_differential,fifa_rank_differential
2010-06-22,Greece,Argentina,0,2,True,Lose,2010,1,-6.5,-9.299999999999997,-5.299999999999997,-34,-9,-15,0,0,7,9,-2,6
2010-06-22,Mexico,Uruguay,0,1,True,Lose,2010,3,-1.5,-5.299999999999997,-0.7000000000000028,18,-3,-4,1,0,7,2,-1,1
2010-06-23,Australia,Serbia,2,1,True,Win,2010,4,-6.400000000000006,-1.2999999999999972,-5.200000000000003,-10,1,-6,1,0,15,0,1,5
2010-06-23,Ghana,Germany,0,1,True,Lose,2010,-19,-11,-9.400000000000006,-2,-10,-1,4,0,0,6,3,-1,26
2010-06-23,Slovenia,England,0,1,True,Lose,2010,-3,-15,-12.299999999999997,-14,-10,-2,0,2,0,-1,0,-1,17
2010-06-24,Cameroon,Netherlands,1,2,True,Lose,2010,-2,-2.5999999999999943,-5.700000000000003,-5.299999999999997,2,-5,0,-1,0,3,3,-1,15
2010-06-24,Paraguay,New Zealand,0,0,True,Draw,2010,16,10.299999999999997,14.299999999999997,11.799999999999997,16,5,13,1,0,-6,-5,0,-47
2010-06-24,Slovakia,Italy,3,2,True,Win,2010,-11,-9.799999999999997,-7.599999999999994,-9.200000000000003,0,-2,-4,0,0,3,2,1,29
2010-06-25,Chile,Spain,1,2,True,Lose,2010,-15,-10.799999999999997,-8,-8.5,-18,1,0,2,1,8,-2,-1,16
2010-06-25,Portugal,Brazil,0,0,True,Draw,2010,-10,-2.799999999999997,-1,0.29999999999999716,-22,-2,-6,1,0,-7,2,0,2
2010-06-26,Uruguay,South Korea,2,1,True,Win,2010,3,6.799999999999997,11.700000000000003,3.700000000000003,-10,3,-1,-3,0,0,-3,1,-31
2010-06-26,United States,Ghana,1,2,True,Lose,2010,16,2,0.4000000000000057,-2,2,0,4,1,0,-8,-1,-1,-18
2010-06-27,Argentina,Mexico,3,1,True,Win,2010,-1,6,9.599999999999994,7,2,0,-5,-1,0,-15,0,2,-10
2010-06-27,Germany,England,4,1,True,Win,2010,4,-2.4000000000000057,-2.299999999999997,-3.5999999999999943,-4,-2,-2,0,0,1,4,3,-2
2010-06-28,Brazil,Chile,3,0,True,Win,2010,14,10.599999999999994,8,4,0,3,2,-1,0,-4,-1,3,-17
2010-06-28,Netherlands,Slovakia,2,1,True,Win,2010,6,3.799999999999997,6,9,4,6,4,-1,0,-2,-5,1,-30
2010-06-29,Spain,Portugal,1,0,True,Win,2010,11,3,1,4.200000000000003,22,7,10,0,-1,-5,-6,1,-1
2010-07-02,Netherlands,Brazil,2,1,True,Win,2010,-6,-7,-1.5999999999999943,1.2999999999999972,2,1,-4,3,-1,0,0,1,3
2010-07-02,Uruguay,Ghana,1,1,True,Win,2010,10,6.200000000000003,9.700000000000003,-2.700000000000003,-4,-3,-11,0,1,0,-3,0,-16
2010-07-03,Argentina,Germany,0,4,True,Lose,2010,-7,-0.29999999999999716,4.599999999999994,1.5999999999999943,6,1,2,1,0,6,-5,-4,1
2010-07-03,Paraguay,Spain,0,1,True,Lose,2010,-14,-10.200000000000003,-5,-14,-20,-2,-7,2,0,13,-1,-1,29
2010-07-06,Uruguay,Netherlands,2,3,True,Lose,2010,-7,0.20000000000000284,-0.7000000000000028,-6.299999999999997,-6,-1,1,-1,0,-1,0,-1,12
