home,away,outcome,pred_win_prob,pred_loss_prob,pred_draw_prob,pred_outcome,homeTeam,awayTeam,winOdds,drawOdds,loseOdds,winProb,drawProb,loseProb
1,0,Win,0.14371,0.62758,0.22871,Likely Loss,Tunisia,France,501,292,-161,0.16638935108153077,0.25510204081632654,0.6168582375478927
0,2,Loss,0.20755,0.5442,0.24825,Likely Loss,Poland,Argentina,719,357,-227,0.1221001221001221,0.2188183807439825,0.6941896024464832
1,2,Loss,0.22565,0.50443,0.26992,Likely Loss,Saudi Arabia,Mexico,434,328,-161,0.18726591760299627,0.2336448598130841,0.6168582375478927
0,0,Draw,0.36308,0.34209,0.29483,Likely Win,Croatia,Belgium,202,241,144,0.33112582781456956,0.2932551319648094,0.4098360655737705
1,2,Loss,0.33554,0.36659,0.29787,Likely Loss,Canada,Morocco,378,249,-119,0.20920502092050208,0.28653295128939826,0.54337899543379
2,1,Win,0.19359,0.55144,0.25497,Likely Loss,Japan,Spain,604,349,-204,0.14204545454545456,0.22271714922049,0.6710526315789473
2,4,Loss,0.14575,0.63241,0.22184,Likely Loss,Costa Rica,Germany,2279,1017,-1000,0.042034468263976464,0.08952551477170993,0.9090909090909091
0,2,Loss,0.29445,0.43436,0.27119,Likely Loss,Ghana,Uruguay,349,282,-127,0.22271714922049,0.2617801047120419,0.5594713656387665
2,1,Win,0.19524,0.56377,0.24099,Likely Loss,South Korea,Portugal,326,284,-118,0.2347417840375587,0.2604166666666667,0.5412844036697247
2,3,Loss,0.40342,0.31665,0.27993,Likely Win,Serbia,Switzerland,158,236,185,0.3875968992248062,0.2976190476190476,0.3508771929824561
1,0,Win,0.14257,0.63936,0.21807000000000001,Likely Loss,Cameroon,Brazil,793,432,-278,0.11198208286674133,0.18796992481203006,0.7354497354497355
