date,home_team,away_team,home_team_score,away_team_score,neutral_location,home_team_result,year,goalkeeper_differential,defense_differential,offense_differential,midfield_differential,possesion_differential,shots_on_target_differential,shots_differential,yellow_cards_differential,red_card_differential,fouls_differential,saves_differential,score_differential,fifa_rank_differential
2007-11-18,Uruguay,Chile,2,2,False,Draw,2007,6,4.200000000000003,5.299999999999997,-5.700000000000003,0,0,7,0,0,-1,0,0,-28
2007-11-20,Colombia,Argentina,2,1,False,Win,2007,-5,-4,-7,-9.400000000000006,0,-2,-1,2,-1,6,2,1,24
2007-11-21,Brazil,Uruguay,2,1,False,Win,2007,9,10.799999999999997,1.7000000000000028,14.700000000000003,0,-7,-9,-4,0,2,7,1,-15
2007-11-21,Chile,Paraguay,0,3,False,Lose,2007,-6,-4.700000000000003,-0.5999999999999943,4,0,3,5,-3,0,1,-3,-3,19
2007-11-21,Ecuador,Peru,5,1,False,Win,2007,13,1,-7.700000000000003,5.799999999999997,0,3,7,-3,0,-11,-3,4,-2
2008-06-14,Peru,Colombia,1,1,False,Draw,2008,-26,-11.200000000000003,-0.29999999999999716,-11.799999999999997,0,-2,0,2,0,1,2,0,45
2008-06-15,Argentina,Ecuador,1,1,False,Draw,2008,18,14.200000000000003,15,15.400000000000006,0,4,11,-2,0,-13,-4,0,-58
2008-06-15,Paraguay,Brazil,2,0,False,Win,2008,-9,-10.299999999999997,-6.400000000000006,-13,0,3,5,1,1,7,-1,2,26
2008-06-17,Uruguay,Peru,6,0,False,Win,2008,23,7.200000000000003,5,10.799999999999997,0,10,14,-3,-1,-4,-4,6,-38
2008-06-18,Ecuador,Colombia,0,0,False,Draw,2008,-13,-10.200000000000003,-8,-6,0,1,2,-1,0,7,-1,0,40
2008-06-18,Brazil,Argentina,0,0,False,Draw,2008,1,2.799999999999997,-0.5999999999999943,4.299999999999997,0,0,-1,-2,0,5,0,0,1
2008-09-06,Argentina,Paraguay,1,1,False,Draw,2008,8,10.200000000000003,6.299999999999997,10.700000000000003,0,1,3,-1,1,-9,-1,0,-18
2008-09-06,Austria,France,3,1,False,Win,2008,-10,-7.299999999999997,-10.700000000000003,-11.299999999999997,4,-5,-8,2,0,1,4,2,90
2008-09-06,Colombia,Uruguay,0,1,False,Lose,2008,0,1.2999999999999972,-2.299999999999997,-0.5999999999999943,0,3,4,-3,0,-6,-4,-1,7
2008-09-06,Georgia,Republic of Ireland,1,2,True,Lose,2008,-28,-5.200000000000003,-12.599999999999994,-10.400000000000006,-4,-2,-2,2,0,4,4,-1,39
2008-09-06,Slovakia,Northern Ireland,2,1,False,Win,2008,1,1.7000000000000028,5.599999999999994,3.799999999999997,-2,-4,-7,-1,0,3,2,1,35
2008-09-06,Spain,Bosnia and Herzegovina,1,0,False,Win,2008,19,17,8,8.799999999999997,30,9,15,-2,0,-7,-6,1,-74
2008-09-07,Chile,Brazil,0,3,False,Lose,2008,-17,-15.700000000000003,-9.400000000000006,-6.599999999999994,0,-3,0,-1,0,-1,0,-3,34
2008-09-10,Chile,Colombia,4,0,False,Win,2008,-5,-10.299999999999997,-1.4000000000000057,4,0,7,2,-1,0,-2,-3,4,11
2008-09-10,Croatia,England,1,4,False,Lose,2008,-5,-7.799999999999997,-1.5999999999999943,-6.200000000000003,-22,-4,-2,1,1,-3,3,-3,-10
2008-09-10,Finland,Germany,3,3,False,Draw,2008,-5,-7.400000000000006,-11.599999999999994,-12.700000000000003,2,-2,-10,1,0,2,2,0,39
2008-09-10,France,Serbia,2,1,False,Win,2008,9,4,7,5.700000000000003,-16,15,20,-1,0,0,-9,1,-22
2008-09-10,Iceland,Scotland,1,2,False,Lose,2008,-32,-2,-2.299999999999997,-9,8,0,3,-1,-1,1,0,-1,91
2008-09-10,Italy,Georgia,2,0,False,Win,2008,35,15.5,23,17.700000000000003,-32,6,9,1,0,-4,-3,2,-75
2008-09-10,Montenegro,Republic of Ireland,0,0,False,Draw,2008,-33,-7.400000000000006,1,-7.200000000000003,-32,4,7,1,0,-2,0,0,98
2008-09-10,Northern Ireland,Czech Republic,0,0,False,Draw,2008,-16,-7.400000000000006,-7.299999999999997,-8.200000000000003,-10,3,2,-2,0,-1,-4,0,24
2008-09-10,Russia,Wales,2,1,False,Win,2008,8,4,6.599999999999994,0.5999999999999943,8,3,5,-4,0,1,-1,1,-41
2008-09-10,Uruguay,Ecuador,0,0,False,Draw,2008,1,9.5,3.700000000000003,5,0,1,3,-3,0,-5,-1,0,-30
2008-10-11,Argentina,Uruguay,2,1,False,Win,2008,7,6.700000000000003,6,9.700000000000003,0,3,7,0,0,-2,-2,1,-13
2008-10-11,Bulgaria,Italy,0,0,False,Draw,2008,-12,-15.299999999999997,-8.400000000000006,-8.700000000000003,-8,0,-4,-3,0,5,1,0,13
2008-10-11,Colombia,Paraguay,0,1,False,Lose,2008,1,4.799999999999997,-2,0.4000000000000057,0,0,6,-1,0,1,-1,-1,11
2008-10-11,Germany,Russia,2,1,False,Win,2008,0,7,3,5.700000000000003,10,0,3,-2,0,-9,0,1,-6
2008-10-11,Netherlands,Iceland,2,0,False,Win,2008,36,9.799999999999997,13,16.5,16,6,12,0,0,7,-5,2,-98
2008-10-11,Romania,France,2,2,False,Draw,2008,-5,-8.799999999999997,-7.700000000000003,-5.700000000000003,22,1,1,-1,0,-4,0,0,7
2008-10-11,Scotland,Norway,0,0,False,Draw,2008,8,-4.299999999999997,-2,1.7999999999999972,6,-5,-9,-2,0,-7,4,0,-13
2008-10-11,Slovenia,Northern Ireland,2,0,False,Win,2008,6,-3.299999999999997,3.5999999999999943,0.7999999999999972,4,-1,-7,-1,0,0,0,2,38
2008-10-12,Ecuador,Chile,1,0,False,Win,2008,4,-0.5,0,-8.400000000000006,0,5,13,1,0,-6,-4,1,6
2008-10-15,Belgium,Spain,1,2,False,Lose,2008,-18,-6.799999999999997,-13,-9.200000000000003,-10,-1,-4,-1,0,7,-5,-1,50
2008-10-15,Brazil,Colombia,0,0,False,Draw,2008,12,5.400000000000006,8,10.599999999999994,0,3,-3,-3,0,-3,-3,0,-29
2008-10-15,Chile,Argentina,1,0,False,Win,2008,-12,-15.700000000000003,-9.700000000000003,-6.299999999999997,0,3,5,1,0,1,-2,1,29
2008-10-15,Germany,Wales,1,0,False,Win,2008,8,11,9.599999999999994,6.299999999999997,40,8,21,-1,0,-6,-5,1,-58
2008-10-15,Italy,Montenegro,2,1,False,Win,2008,40,17.700000000000003,9.400000000000006,14.5,30,1,2,-1,0,1,0,1,-115
2008-10-15,Norway,Netherlands,0,1,False,Lose,2008,-12,-3.5,-8.700000000000003,-9.299999999999997,-10,3,2,2,0,7,-3,-1,34
2009-02-11,Republic of Ireland,Georgia,2,1,False,Win,2009,28,5.200000000000003,12.599999999999994,10.400000000000006,14,7,9,-4,0,0,-5,1,-79
2009-03-28,Republic of Ireland,Bulgaria,1,1,False,Draw,2009,5,5,-2,1.4000000000000057,-10,0,-1,-3,0,-2,-4,0,-1
