hometeam,awayteam,offense_differential,defense_differential,midfield_differential,fifa_rank_differential,points_differential,goalkeeper_differential,possession_differential,shots_on_target_differential,shots_differential,yellow_cards_differential,red_card_differential,fouls_differential,score_differential
Wales,England,-8,-7,-6,14,-159,-8,-12.799999999999997,-0.40000000000000036,-0.5999999999999996,-0.3999999999999999,0.2,1.5999999999999996,-0.5999999999999999
Iran,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,Senegal,-4,-1,-2,26,-120,-12,10.199999999999996,1.6000000000000005,2.5999999999999996,1,0.2,-3.6000000000000014,1.1999999999999997
Netherlands,Qatar,9,11,12,-42,255,7,6.399999999999999,0.20000000000000018,0.40000000000000036,-0.7999999999999999,0.2,5.2,0
Australia,Denmark,-5,-11,-9,28,-178,-5,-1.6000000000000014,-1,-2.8000000000000007,0.8,0,4,-1.2000000000000002
Tunisia,France,-14,-7,-11,26,-252,-18,-9,-0.8000000000000003,-3.200000000000001,-0.8,0,2.5999999999999996,0
Poland,Argentina,-5,-9,-7,23,-225,2,-4.799999999999997,-3.6,-6.199999999999999,-1.4000000000000001,0,-3,-0.19999999999999996
Saudi Arabia,Mexico,-8,-5,-6,38,-207,-9,9,-0.19999999999999973,-1.1999999999999993,-1.6,0,-3.5999999999999996,0
Croatia,Belgium,-4,2,-1,10,-171,-10,3.4000000000000057,0.9999999999999996,7.399999999999999,0.5999999999999999,0,1.4000000000000004,-0.20000000000000018
Canada,Morocco,-4,5,-6,19,-88,-7,4,-1.9999999999999996,-2.4000000000000004,-0.40000000000000013,0.2,-2.5999999999999996,-1.8
Japan,Spain,-8,-8,-7,17,-156,-7,-18.200000000000003,0.20000000000000018,-4.800000000000001,0.3999999999999999,0,-1.5999999999999996,-1
Costa Rica,Germany,-11,-12,-8,20,-147,-2,-28.800000000000004,-2.0000000000000004,-6.799999999999999,0.6000000000000001,-0.2,5.199999999999999,-0.3999999999999999
Ghana,Uruguay,0,-6,-4,47,-245,-7,-2.3999999999999986,2.2,6.3999999999999995,0,-0.2,-4,0.6000000000000001
South Korea,Portugal,-4,-9,-9,19,-146,-11,-5.399999999999999,2,0.1999999999999993,1.2000000000000002,0,4.199999999999999,-0.8
Serbia,Switzerland,3,2,-3,6,-72,-8,-12.399999999999999,-0.5999999999999996,-1.4000000000000004,0.3999999999999999,0,0.20000000000000107,-0.20000000000000018
Cameroon,Brazil,-10,-10,-11,42,-370,-7,-20.200000000000003,-2.8000000000000003,-4.4,0,0.2,2.799999999999999,-1.4000000000000001
United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
